# MOND N-body snapshot at t = 0.800 Gyr
# id x(kpc) y(kpc) z(kpc) vx(km/s) vy(km/s) vz(km/s) mass(M_sun) type
324 3.339192 19.397762 19.822115 -21.525 -43.948 181.387 6.250e+07 2
325 1.715341 19.741722 22.235473 -87.927 -207.954 112.298 6.250e+07 2
326 2.230190 16.938169 20.887682 203.119 -3.218 15.020 6.250e+07 2
327 -0.656926 23.707606 23.633030 32.363 -16.399 44.223 6.250e+07 2
328 2.988428 15.727416 20.683786 104.834 19.510 51.447 6.250e+07 2
329 3.973955 16.528644 22.269611 106.972 261.638 -98.925 6.250e+07 2
330 -0.522798 18.874990 19.128827 24.949 -185.940 78.196 6.250e+07 2
331 -19.138356 0.136193 20.913561 133.098 44.176 -7.002 6.250e+07 2
332 -0.639001 10.187022 22.772495 18.972 -178.775 112.031 6.250e+07 2
333 2.607980 16.650199 20.043325 100.822 81.273 151.899 6.250e+07 2
334 2.478507 20.123992 20.359256 -135.682 137.506 -85.847 6.250e+07 2
335 3.350516 21.321917 19.839993 -139.722 25.878 43.437 6.250e+07 2
336 3.161866 17.064916 21.273478 -2.862 -47.428 88.809 6.250e+07 2
337 3.503713 14.487623 21.543566 135.796 69.251 -73.145 6.250e+07 2
338 0.336222 18.291658 21.043319 -171.135 -184.181 111.002 6.250e+07 2
339 3.141750 17.346536 22.112943 121.719 69.406 95.244 6.250e+07 2
340 2.093380 14.992563 20.744558 35.722 -62.924 128.569 6.250e+07 2
341 2.885745 16.529570 19.834683 292.364 276.405 -7.157 6.250e+07 2
